დილა მივიდობისა, ზურაბ! რა ცუდი ამინდია!	dila m¡vidob-isa, zura(b)! ra cud-i amind-i-a!<br />Good movning, Zurab! What bad weather it is!
არა. საავადმყოფოში მივდივარ. იქ დედა არის. ავადაა.	ara. saavadmq’opo-shi mi-v-di-v-a-r. ik deda a-r-i(-s). av-ada-a.<br />არა : no<br />საავადმყოფოში : to the hospital<br />მივდივარ : I'm going<br />იქ : there<br />დედა : mother<br />არის : is<br />ავადაა : (she is doing) poorly
მას ორი წიგნი აქვს დაწერილი.	მას [mas]: it/he<br />ორი წიგნი : 2 books (წ = /ts'/)<br />აქვს [akvs]: has<br />დაწერილი<span style="font-weight:600;"> : </span>written
ერთი ნაბიჯი და მკვდარი კაცი ხარ.	ერთი [erti] : one<br />ნაბიჯი [nabiʤi] : step<br />და : and<br />მკვდარი კაცი : dead man<br />ხარ : you are
პრეზერვატივი გააქვს?	პრეზერვატივი [p’rezervat’ivi] : condoms<br />გააქვს [gaaqvs] : you have
საღამოს ჰავაიში მივდივართ.	საღამოს [saghamos] : (in the) evening<br />ჰავაიში [havaiʃi] : to Hawai'i<br />მივდივართ [mivdivartʰ] : we are leaving/going
მე არ ვიცი იაპონურად ლაპარაკი.	მე არ : I don't<br />ვიცი [kitsi]: know<br />იაპონურად [iap'onurad]: Japanese language<br />ლაპარაკი[lap'arak'i] : speak
მე არ ვლაპარაკობ ქართულად<br />[sound:forvo_ka_132733.mp3]	I don't speak Georgian.
<p align="center">მასწავლებლად მუშაობს.</p>	<p align="center">mastsavlebl-ad musha-ob-s.<br />teacher (adv sg) X-works(pres 3s)<br />He works as a teacher.</p>
რა თქმა უნდა	ra t’k’ma unda<br />Of course
ბოლოს და ბოლოს	bolos da bolos<br />finally, at last
შოთა წერილს წერს, ივანე კი წიგნს კითხულობს.	შოთა = Shota (name)<br />წერილს : letters (dative form, i.e. direct object)<br />წერს : is writing (imperfective, present tense)<br /><br />ივანე : Ivane = name<br />კი : however<br />წიგნს : book (dative form)<br />კითხულობს : is reading
რას აკეთებ?	What are you doing?<br />რას = what?<br />აკეთებ = you doing (no prefix or suffix, therefore 2nd person)
ინგლისურ წიგნს ვკითხულობ.	&quot;I'm reading an English book.&quot;<br />ინგლისურ წიგნს = dative of ინგლისური წიგნი<br />ვკითხულობ : I'm reading (ვ- denotes first person)
დავითი რას აკეთებს?	What is David doing?
--დავითი რას აკეთებს?<br />--ქართულ წიგნს კითხულობს.	--What is David doing?<br />--He's reading a Georgian book.<br /><br />აკეთებს : is doing (-ს denotes 3rd person sg)<br />ქართულ წიგნს : dative of კართული წიგნი<br />კითხულობს : is reading (-ს denotes 3rd person sg)
--წერილს წერ?<br />--არა, არ ვწერ.	--Are you writing a letter?<br />--No, I'm not writing.<br />წერილს : dative of წერილი, letter<br />წერ? : are you writing (no prefix or suffix, therefore 2nd person sg)<br /><br />არა, არ : no/not<br />ვწერ : I am writing (ვ- denotes 1st person)
წერილს წერ?<br />არა, არ ვწერ.	--Are you writing a letter?<br />--No, I'm not writing.
-- მასწავლებელს ხედავ?<br />-- დიახ, ვხედავ. სტატიას წერს.	Do you see the teacher?<br />Yes, I see (him). (He) is writing an article.
-- რას აკეთებენ დავითი და ელისაბედი?<br />-- წიგნს კითხულობენ.	-- What are Daviti and Elisabeti doing?<br />-- They are reading a book.
-- რას აკეთებდა შენი მამა გუშინ?<br />-- გუშინ საინტერესო წიგნს კითხულობდა. დღეს კი წერილს წერს. ხვალ ჩემი ძმა წერილს დაწერს.	-- What did your father do yesterday?<br />-- Yesterday, he read an interesting book. Today, however, he is writing a letter.  Tomorrow, my brother will write a letter.
-- ხვალ რას გააკეთებთ?<br />-- ხვალ გაზეთს წავიკითხავთ. დედა წერილს დაწერს, მარიამი კი რუსულ ლექსს ისწავლის.	-- What will you all do tomorrow?<br />-- Tomorrow we will read the newspaper. Mother will write a letter, Mary however will learn a Russian poem.
-- რას სწავლობ?<br />-- ქართულ გრამატიკას ვსწავლობ.	-- What are you studying?<br />-- I am studying Georgian grammar.
-- რას ხედავ?<br />-- მასწავლებელს ვხედავ.	-- What do you see?<br />-- I see the teacher.
-- მოწაფეს ხედავ?<br />-- დიახ, ქართულ გაკვეთილს თარგმნის.	-- Do you see the pupil?<br />-- Yes, he is translating the Georgian lesson.
ელისაბედი გაკვეთილს ხვალ გადათარგმნის.	Elisabethi will translate the lesson tomorrow.
-- გუშინ რა ენას სწავლობდი?<br />-- გუშინ რუსულ ენას ვსწავლობდი.	-- What language were you studying yesterday?<br />-- Yesterday I was studying the Russian language.
ინგლისურ გაკვეთილს გადავწერ ხვალ.  ახლა ქართულ გაზეთს ვკითხულობ.	I will copy the English lesson tomorrow. Now I am reading a Georgian newspaper.
მარიამი ქართულ ანბანს სწავლობს.  სიტყვას გადაწერს და შემდეგ წარმოთქვამს.  ქართულ სიტყვას კარგად წარმოთქვამს.	Mary is studying the Georgian alphabet.  She will copy a word and then will pronounce it.  She will pronounce the Georgian word well.
-- რას აღნიშნავს სიტყვას &quot;მამა&quot;?<br />-- &quot;მამა&quot; აღნიშნავს &quot;father&quot;-ს. ქართულ სიტყვას &quot;დედა&quot; აღნიშნავს &quot;mother&quot;-ს.	-- What does the word <span style="font-style:italic;">mama</span> mean?<br />-- <span style="font-style:italic;">Mama</span> means 'father'.  The Georgian word <span style="font-style:italic;">deda</span> means 'mother'.
ხვალ მარიამს ვნახავ.  მარიამი და ელისაბედი საქართველოს აღწერენ. შემდეგ ქართულ გაკვეთილს წაიკითხავენ.	I will see Mary tomorrow.  Mary &amp; Elizabeth will describe Georgia.  Then they will read the Georgian lesson.
-- კონცერტს ისმენთ?<br />-- არა, ქართულ სავარჯიშოს ვწერთ.	-- Are you all listening to the concert?<br />-- No, we are writing the Georgian exercises.
-- საღამოს კინოფილმს ვნახავთ, შემდეგ კი გაკვეთილს ვისწავლით.	-- In the evening we will see a film, then however we will learn the lesson.
-- მასწავლებელს ხედავთ?<br />-- ახლა წერილს წერს.  გუშინ საინტერესო სტატიას კითხულობდა.	-- Do you all see the teacher?<br />-- Now he is writing a letter. Yesterday he was reading an interesting article.
-- რას აკეთებდით გუშინ?<br />-- ქართულ ლექსს ვიხილავდით.	-- What were you all doing yesterday?<br />-- We were discussing a Georgian poem.
გუშინ წითელ წიგნს ვკითხულობდი.  ვანო კი თეთრს კითხულობდა.	Yesterday I was reading a red book.  Vano, however, was reading a white one.
-- რას ისმენთ?<br />-- ახლა ქართულ ოპერას ვისმენთ. ხვალ რუსულს მოვისმენთ.	-- What are you all listening to?<br />-- Now we are listening to a Georgian opera.  Tomorrow we will listen to a Russian one.
-- ზურაბი რადიოგადაცემას ისმენს?<br />-- არა, ჟერნალს კითხულობს.  შოთა და შალვა ისმენენ რადიოგადაცემას.	-- Is Zurab listening to the radio broadcast?<br />-- No, he is reading a magazine.  Shota and Shalva are listening to the radio broadcast.
-- მასწავლებელი სავარჯიშოს იხილავს?<br />-- დიახ, სავარჯიშოს იხილავს.  ხვალ ახალ სავარჯიშოს განიხილავს.	-- Is the teacher discussing the exercise?<br />-- Yes, he is discussing the exercise.  Tomorrow he will discuss the new exercise.
დღეს ქართულ ზმნას სწავლობენ, ხვალ კი დიდ ქართულ ლექსს წაიკითხავენ.	Today they are studying the Georgian verb; tomorrow, however, they will read a great Georgian poem.
-- გუშინ ქართულ გრამატიკას სწავლობდით?<br />-- არა, ქართულ გრამატიკას არ ვსწავლობდით. რუსულ პიესას ვთარგმნიდით.	-- Were you all studying Georgian grammar yesterday?<br />-- No, we were not studying Georgian grammar.  We were translating a Russian play.
-- ხვალ რას გავაკეთებთ?<br />-- ქართულ სტატიას წავიკითხავთ, შემდეგ კი განვიხილავთ.  თბილისს აღვწერთ.	-- What will we do tomorrow?<br />-- We will read a Georgian article; then, however, we will discuss it.  We will describe Tbilisi.
-- რას აკეთებდნენ შოთა და შალვა?<br />-- შოთა ინგლისურ წიგნს კითხულობდა, შალვა კი ქართულს.	-- What were Shota and Shalva doing?<br />-- Shota was reading an English book; Shalva, however, a Georgian one.
-- რას იხილავდი გუშინ?<br />-- „ანა კარენინას“ ვიხილავდი.	-- What were you discussing yesterday?<br />-- I was discussing <span style="font-style:italic;">Anna Karenina</span>.
მასწავლებელი დაიწყებს თარგმნის, მოწაფე კი გააგრძელებს.	--The teacher will start the translating [verbal noun]; the student, however, will continue it.
ხვალ ელისაბედი და შალვა მნიშვნელოვან სტატიას გადათარგმნიან.  შემდეგ ქართულ ენას განიხილავენ.	-- Tomorrow Elizabeth and Shalva will translate an important article.  Then they will discuss the Georgian language.
-- ქართულ სტატიას კითხულობდი?<br />-- არა, ინგლისურ ვკითხულობდი.	-- Were you reading a Georgian article?<br />-- No, I was reading an English one.
-- ხვალ რუსულ სავარჯიშოს გადაწერთ?<br />-- არა, ქართულს გადავწერთ.	-- Will you all copy the Russian exercise tomorrow?<br />-- No, we will copy the Georgian one.
-- რას აკეთებდნენ შოთა და შავლა გუშინ?<br />-- შოთა და შავლა ქართულ გაზეთს კითხულობდნენ. ზურაბი და მარიამი კი ლინგვისტიკას სწავლობდნენ.	-- What were Shota and Shalva doing yesterday?<br />-- Shota and Shalva were reading a Georgian newspaper.  Zurab and Mary, however, were studying linguistics.
ხვალ სულიკო ქართულ ანგანს გადაწერს.	-- Tomorrow, Sulik'o will copy the Georgian alphabet.
როცა ქართულ ენას ვსწავლობთ, მასწავლებელი სიტყვას დაწერს ხოლმე, ვანო და მარიკო კი გადაწერენ.  მასწავლებელი სიტყვას წარმოთქვამს, და შემდეგ ვანო გაიმეორებს.	When we study Georgian the teacher writes a word; Vano and Marik'o, however, will copy it.  The teacher will pronounce the word and then Vano will repeat it.
ხვალ ვანო და მარიკო განიხილავენ ქართულ რომანს.	Tomorrow, Vano and Marik'o will discuss a Georgian novel.
ვიქტორი ლექსს ისმენს.  შემდეგ სავარჯიშოს გადაწერს.	Viktor is listening to the poem.  The he will copy the exercise.
როცა მამა წერას დაიწყებს, დედა კითხვას დაიწყებს, მარიკო კი გაზეთს წაიკითხავს.	When father will begin the writing, mother will begin the reading; Marik'o, however, will read the newspaper.
ვიქტორი კლასიკულ მუსიკას ისმენდა ხოლმე.  ახლა კი, როცა ქართულ გრამატიკას სწავლობს, ქართულ ხალხულ მუსიკას ისმენს.	Victor used to listen to classical music.  Now, however, when he studies Georgian grammar he listens to Georgian folk music.
როცა ქართულ გრამატიკას ვსწავლობდით, მასწავლებელი ხშირად აღწერდა ხოლმე ქართულ წარმოთქმას.	When we were studying Georgian grammar, the teacher often would describe the Georgian pronunciation.
(მასწავლებელი) ყოველ ახალ ქართულ სიტყვას წარმოთქვამდა ხოლმე.  შემდეგ სიტყვას გადავწერდი ხოლმე.	(The teacher) would pronounce every new Georgian word.  Then I would copy the word.
ვიმეორებდი ხოლმე, როცა ვკითხულობდი ქართულ გრამატიკას.	I would repeat it when I was reading the Georgian grammar.
დღეს ვიქტორი სიმფონიას ისმენს. გუშინ კვარტეტს ისმენდა.	Today Victor is listening to a symphony.  Yesterday he was listening to a quartet.
როცა ვანო და თამარი რუსულ ენას სწავლობდნენ, რუსულ ლექსს ხშირად თარგმნიდნენ ხოლმე.	When Vano and Tamar were studying the Russian language, they would often translate a Russian poem.
-- ფიზიკას როდის ისწავლით?<br />-- ფიზიკას ხვალ საღამოს ვისწავლით.	-- When will you all study physics?<br />-- We will study physics tomorrow evening.
-- შენს ქართულ ლექსს როდას დაწერ?<br />-- ჩემს ქართულ ლექსს საღამოს დავწერ.	-- When will you write your Georgian poem?<br />-- I will write my Georgian poem in the evening.
-- რას აკეთებდით გუშინ საღამოს?<br />-- გუშინ საღამოს ქართულ გაკვეთილს ვწერდით და ლინგვისტიკას ვსწავლობდით.	-- What were you all doing yesterday in the evening?<br />-- Yesterday in the evening we were writing the Georgian lesson and studying linguistics.
დღეს საღამოს ჩვენს ახალ ოპერას მოვისმენთ.	Today in the evening we will listen to our new opera.
-- ახალ სავარჯიშოს როდას გადათარგმნი?<br />-- ახალს დღეს საღამოს გადავთარგმნი, შემდეგ კი ვისწავლი ქიმიას.	-- When will you translate the new exercise?<br />-- Today I will translate the new one in the evening; then, however, I will study chemistry.
როცა მასწავლებელი სიტყვას დაწერს, გადავწართ.  შემდეგ წერმოვთქვამთ.	When the teacher will write a word, we will copy it.  Then we will pronounce it.
-- წითერ წიგნს ხევად?<br />-- არა, მხოლოდ თეთრს ვხედავ.	-- Do you see the red book?<br />-- No, I only see the white one.
-- ახალ გაკვეთილს ხვალ გადათარგმნიან?<br />-- არა, ხვალ ძველს გადათარგმნიან.	-- Will they translate the new lesson tomorrow?<br />-- No, tomorrow they will translate the old one.
ვიქტორი კითხვას სწავლობს, მარიამი კი წერას.	Victor is studying reading, Mary, however, writing.
ელისაბედი გუშინ სწავლობდა ქართულ წარმოთქმას, დღეს კი ქართულ ლექსს კარგად წარმოთქვამს.	Elizabeth was studying Georgian pronunciation yesterday; today, however, she will pronounce the Georgian poem well.
ვიქტორი და ზურაბი ქართულ ზმნას ისწავლიან.	Victor and Zurab will study the Georgian verb.
-- ძველ ქართულს სწავლობთ?<br />-- არა, ახალს.	-- Are you all studying old Georgian.<br />-- No, new!
როცა შოთა წერილს წერდა, ვანო და სულიკო თარგმნის იწყებდნენ.	When Shota was writing a letter, Vano and Sulik'o were beginning the translating.
ახლა „ვფრცქვნი“-ს წარმოვთქვამ.  „ვფრხქვნი“ „I'm peeling it“-ს  აღნიშნავს. კარგად წარმოვთქვამ!	Now I will pronounce ვფრცქვნი.  ვფრცქვნი means 'I am peeling it'.  I will pronounce it well!
ლურჯი რვეული აკაა, წითელი კი იკაა. მხოლოდ წითელია ჩემი.	The blue notebook is here, the red one however is there.  Only the red one is mine.
ხვალ კლასი ქართული სახელის სწავლას გააგრძელებს.  ზეგ ქართული ზმნის სწავლას დავიწყებთ.	Tomorrow the class will continue the studying of the Georgian noun.  The day after tomorrow we will begin the studying of the Georgian verb.
ქართული სიტყვა ადვილად იწერება.  ქართული გრამატიკის სწავლა კი ხშირად ძმელია.	A Georgian word is easily written.  The studying of Georgian grammar, however, is often difficult.
-- ვანოს კალამი მწვანეა, ჩემი კი თეთრია.  მწვანეს ხედავ?<br />-- არა, თეთრს ვხედავ.	--Vano's pen is greet, mine however is white.  Do you see the green one?<br />-- No, I see the white one.
ხვალ დავიწყება ჩვენი მოთხრობის წერას.	Tomorrow we will begin the writing of our stories.
სულიკო ალბათ გაწითლდება, როცა სოსოს ახალი მოთხრობა გადაითარგმნება.	Sulik'o probably will blush when Soso's new story will be translated.
კალმით ვწერ.  ვანო ფანქრით წერს.  ვანო შავი მელნით წერს, სულიკო კი ლურჯით.	I am writing with a pen.  Vano is writing with a pencil.  Vano is writing with black ink; Sulik'o, however, is writing with blue.
-- როდის დამთავრდება პროფესორის ლექცია?<br />-- ხვალ დამთავრდება ლექცია.  ახლა მეორე ნაწილს წერს, ხვალ კი მესამე ნაწილი დაიწერება.  ზეგ ლექციას წაიკითხავს.	-- When will the professor's lecture be finished?<br />-- The lecture will be finished tomorrow.  Now he is writing the 2nd part; tomorrow, however, the 3rd part will be written.  The day after tomorrow he will read the lecture.
-- რას წერს ბავშვი?<br />-- ბავშვი საქართველოს აღწერის პირველ ნაწილს წერს.	-- What is the child writing?<br />-- The child is writing the first part of a description of Georgia.
პროფესორი ნიკოლოზ ორჯონიკიძე წიგნს დაწერს.  ქართულ სინტაკსს გამოიკვლევს.	Professor Nik'oloz Orjonik'dze will write a book.  He will investigate Georgian syntax.
წიგნი გამოქვეყნდება და მაშინ პროფესორი ორჯონიკიძე ცნობილი იქნება.	The book will be published and then Professor Orjonik'idze will be famous.
რუსული გრამატიკის მეორე თავის წერა ძნელი იქნება, მესამე თავის წერა კი — ადვილი. 	The writing of the second chapter of the Russian grammar will be difficult; the writing of the third chapter, however, [will be] easy.
— ხვალ აქ ვიქნები.  ხვალ აქ იქნებით?<br />— არა, ხვალ მხოლოდ ვანო იქნება აქ. შინ ვიქნები.  ზეგ აქ ვიქნები.	-- I will be here tomorrow.  Will you all be here tomorrow?<br />-- No, only Vano will be here tomorrow.  I will be at home.  I will be here the day after tomorrow.
ივანე ქართული ენის წრის წევრია, პავლე კი მათემატიკის წრის წევრია.	Ivan is a member of the Georgian Language Circle; Paul, however, is a member of the Mathematics Circle.
ხვალ მოწაფე ხელით გადაწერს გაკვეთილს.  გაკვეთილი ნელა და ფრთხილად გადაიწერება.	Tomorrow the pupil will copy the lesson by hand.  The lesson will be copied slowly and carefully.
ზინაიდა გაორბაძე ახალ გამოკვლევას წერს.  ძველი ქართული ზმნის მორფოლოგიას იკვლევს.  მალე ხელნაწერი გასწორდება, შემდეგ კი დაიბეჭდება.	Zinaida Giorgadze is writing a new investigation.  She is investigating the morphology of the old Georgian verb.  Soon the manuscript will be corrected; then, however, it will be printed.
— ივანე ამერიკის საენათმეცნიერო საზოგადოების წევრია?<br />— დიახ, ივანე საზოგადოების მთავარი საბჭოს წევრია.	-- Is John a member of the Linguistic Society of America?<br />-- Yes, John is a member of the Society's main council.
როცა რუსული კლასის კრება დამთავრდება, საშინაო დავალების შედგენას დავიწყებ.	When the Russian class meeting will end, I will begin the composition of the homework.<br /><br />საშინაო დავალები : home work
საშინაო დავალებას დავამთავრებ, შემდეგ კი მასწავლებელი გუშინდელი სავარჯიშოს გასწორებას დაიწყებს.	I wiill finish the homework, and then the teacher will begin the correction of yesterday's exercise.
როცა სავარჯიშოს გასწორება დამთავრდება, ხვალინდელ სავარჯიშოს დავამზადებთ.	When the correction of the exercise will be finished, we will prepare tomorrow's exercise.
როცა ავტორი ახალი სტატიის წერას იწყებდა, რედაქტორი უკვე ამთავრებდა ძველის გასწორებას.	When the author was beginning the writing of the new article, the editor was already finishing the correcting of the old one.
მასწავლებელი თეკლეს ცუდ სტუდენტად თვლის, თუმცა თეკლე მუდამ ბეჯითად სწავლობს ეკონომიკის გაკვეთილს.  აკაკი კი ძალიან კარგ სტუდენტად ითვლება.	The teacher considers Tek'le a poor student although Tek'le always studies the economics lesson diligently.  Ak'ak'i, however, is considered a very good student.
— მასწავლებელი კმაყოფილია ვანოთი?<br />— დიახ, მასწავლებელი კმაყოფილია ვანოთი.  ვანო ქართულ გაკვეთილს მუდამ ბეჯითად სწავლობს და ქართულ სიტყვას მუდამ კარგად წარმოთქვამს.	— Is the teacher satisfied with Vano?<br />— Yes, the teacher is satisfied with Vano.  Vano studies the Georgian lesson always diligently, and he always pronounces the Georgian word well.
ქართული სიტყვა „გვფრცქვნის“ ძნელად წარმოითქმება.	The Georgian word <span style="font-style:italic;">gvprckvnis</span> ['He is peeling us'] is difficult to pronounce.
ქართული სიტყვა „გვფრცქვნის“ ძნელად წარმოითქმის.	The Georgian word <span style="font-style:italic;">gvprckvnis</span> ['he is peeling us'] is pronounced difficultly.
— მათემატიკის კლასის კრება როდის დამთავრდება?<br />— კლასის კრება მალე დამთავრდება.  შემდეგ ფიზიკის კლასის კრება დაიწყება.	— When will the mathematics class meeting be finished?<br />— The class meeting will be finished soon.  Then the physics class meeting will begin.
— რატომ ჭრის დედა პურს დანით?<br />— პურის ჭრა კოვზით ძალიან ძნელია.	— Why does mother cut bread with a knife?<br />— The cutting of bread with a spoon is very difficult.
საბჭოს სხდომა გვიან მთავრდებოდა.	The council session was ending late.
მალე ვიქტორის სტატია გამოქვეყნდება.  თბილისის უნივერსიტეტის ახალი ისტორიის ჟურნალის რედაქტორი სტატიას გამოაქვეყნებს.	Soon Victor's article will be published.  The Tbilisi University's Journal of Modern [=new] History's editor will publish the article.
როცა გარეთ დაბნელდება, შინ ვიქნებით.  ქართულ გრამატიკას ვისწავლით.	When it will get dark outside, we will be at home.  We will study Georgian grammar.
— ხვალ გამოცდა იქნება.  იქ იქნებით?<br />— დიახ, როცა გამოცდა დაიწყება, იქ ვიქნებით.	— There will be an exam tomorrow.  Will you all be there?<br />— Yes, when the exam will begin, we will be there.
— წუხელ რას აკეთებდი?<br />— წუხელ შინ ფიზიკას ვსწავლობდი.  დღეს გამოცდა იქნება.	— What were you doing yesterday evening?<br />— Yesterday evening I was studying physics at home.  Today there will be a test.
ხვალ მეორე გაკვეთილის კითხვა გაგრძელდება.  შემდეგ სავარჯიშო გასწორდება და  ვიქტორი და შოთა ახალი გაკვეთილის წერას დაიწყებენ.	Tomorrow the reading of the 2nd lesson will be continued.  Then the exercise will be corrected, and Victor and Shota will begin the writing of the new lesson.
— ივანე სად იმალება?<br />— ივანე აქ იმალება. ვხედავ.	— Where is John hiding?<br />— John is hiding here.  I see him
— ივანე წიგნს სად დამალავს?<br />— აქ დამალავს.	-- Where will John hide the book?<br />-- He will hide it here.
როცა პავლე ყიფშიძე ახალ წიგნს გაათავებს, ზინაიდა ხელნაწერს გაასწორებს.  შემდეგ საქართველოს აკადემიის სტამბა წიგნს დაბეჭდავს და აკადემია წიგნს გამოაქვეყნებს.	When Paul Qipshidze will finish the new book, Zinaida will correct the manuscript.  Then the Georgian Academy printing house will print the book, and the Academy will publish the book.
ჩვენი უნივერსიტეტის გამომცემლობა მხოლოდ მეცნიერულ მასალას ბეჭდავდა ხოლმე, მაგრამ გამოაქვეყნებს ლიდა ბარათაშვილის ახალ რომანს, როცა რომანი გადაითარგმნება.	Our university publishing house used to print only scientific material, but it will publish Lida Baratashvili's now novel when the novel will be translated.
ივანე „მზიან ღამეს“ დიდ რომანად თვლის.  მალე ავტორის ბიოგრაფიის წერას დაამთავრებს.  როცა ხელნაწერის გასწორებას გაათავებს, წიგნი გამოქვეყნდება.	John considers <span style="font-style:italic;">Sunny Night</span> a great novel.  Soon he will finish the writing of the author's biography.  When he will finish the correcting of the manuscript, the book will be published.
— როდის გამოქვეყნდება მწერლის ბიოგრაფია?<br />— როცა ავტორი პირველი თავის გასწორებას დაამთავრებს, წიგნი დაიბეჭდება.	— When will the author's biography be published?<br />— When the author will finish the correcting of the first chapter, the book will be printed.
გუშინ, როცა ბნელდებოდა, ქიმიის გაკვეთილს ვსწავლობდით.	Yesterday when it was getting dark, we were studying the chemistry lesson.
— სოსო დღეს მოთხრობას წერს.<br />— რა აღიწერება?<br />— იქ საქართველი აღიწერება.	— Soso is writing a story today.<br />— What will be described?<br />— Georgia will be described there.
როცა რუსული ლიტერატურის კლასის კრება დაიწყება, „ბორის გოდუნოვის“ კითხვა გაგრძელდება.  შემდეგ ილია ჭავჭავაძის ლექსის გადაწერას გავათავებთ.	When the Russian literature class meeting will begin, the reading of <span style="font-style:italic;">Boris Godunov</span> will [be] continue[d].  Then we will finish the copying of Ilia Ch'avch'avadze's poem.
ვიქტორი <span style="text-decoration: underline;">რომ</span> ქართულ სიტყვას კარგად წარმოთქვამ<span style="text-decoration: underline;">დეს</span>, ელისაბედი გაიგებ<span style="text-decoration: underline;">და</span>.	If Victor pronounced the Georgian word well [counterfactual condition; he doesn't; Georgian conjunctive], Elizabeth would understand.
გზას რომ ააშენებ<span style="text-decoration: underline;">დნენ</span> [conj], კარგი იქნებო<span style="text-decoration: underline;">და</span> [conditional].	If they were to build a road [they won't], it would be good.
სტატია <span style="text-decoration: underline;">რომ</span> დაიწერებო<span style="text-decoration: underline;">დეს</span> [conj.], ნესტორი წაიკითხავ<span style="text-decoration: underline;">და</span> [conditional].	If the article were to be written, Nestor would read it.
ტარიელს <span style="text-decoration: underline;">თუ</span> ვნახავ [fut.], მოვკლავ [fut.].	If I [will] see Tariel, I'll kill him.
სტუდენტები (დავითი და მარიამი) წიგნის წერას ხვალ დაიწყებენ.	The students (David and Mary) will begin the writing of the book tomorrow.
გაკვეთილები მალე მომზადდება.	The lessons will soon be ready.<br />Note: inanimate plural subject with 3rd person sg verb
სოფიოს, ანტონს<span style="text-decoration: underline;">ა</span> და ელენეს ვხედავ.	I see Sophie, Anthony, and Helen.<br /><br />(extended dative form before და in a series.
საქართველოს დედაქალაქი თბილისია და ამერიკის<span style="text-decoration: underline;">ა</span> — ვაშინგტონი.	Georgia's capital is Tbilisi, and America's — Washington.<br /><br />Extended genitive case on ამერიკა, since it's not right before the word it modifies (დედაქალაქი).
მოსკოვს<span style="text-decoration: underline;">ა</span> და ლენინგრადში	in(/)to Moscow and Leningrad<br /><br />note extended dative form on Moscow, to connect the postposition ში with both words
კარგი იქნებოდა, რომ ვკითხულობდეთ ქართული ცხოვრების შესახებ.	It would be good if we read books about Georgian life.
ბიბლიის პირველი თარგმანი ძველ ქართულზე ბერძნულიდანაა.	The first translation of the Bible into Old Georgian is from Greek.
— დავითი მოსკოველია?<br />— არა, უკრაინიდანაა.	-- Is David a Moscovite?<br />-- No, he's from Ukraine.
— სად მიდიხართ?<br />— ელისაბედთან მივდივართ.<br />— კითხვას რომ ვამთავრებდე, წავიდოდი, მაგრამ ხვალ ვანოსთან წავალ.	-- Where are you all going?<br />-- We are going to Elizabeth's.<br />-- If I had finished the reading, I would go.  But tomorrow, I shall go to Vano's.
მასწავლებელი თუ ოთახიდან გავა, ჩინურ ენაში გაკვეთილს არ ვისწავლით.	If the teacher will go out from the room, we will not study the lesson in the Chinese language.
— შენი სომხულ-რუსული ლექსიკონი სად არის?<br />— მაგიდაზეა ფანჯარასთან.	— Where's your Armenian-Russian dictionary?<br />— It's on the table near the window.
— იქ არ არის.<br />— იქ თუ არ არის, უჯრაში ჩემი კალმებისა და ფანქრების უკან იქნება.	— It's not there.<br />— If it isn't there, then it will be in the drawer behind my pens and pencils.
